id,proponent_id,project,macrosector
177,177,EducaEclipse,Educação
178,178,Ações de DE&I na Thyssenkrupp,Serviços Sociais
179,179,Programa de Capacitação em Tecnologia para Pessoas com Deficiência Auditiva,Educação
180,180,Onda de Mudança,Desenvolvimento Comunitário
181,181,Engenharia de Materiais Inteligentes,Engenharia
182,182,Por Que Escolher Este Caminho?,Educação
183,183,Hércules de Hidroponia,Agricultura e Alimentação
184,184,Campanha de Conscientização sobre Consumo Responsável de Moda Infantil,Sustentabilidade
185,185,TransTech Innovations,Transporte e Tecnologia
186,186,Novos Nascimentos,Saúde e Bem-estar
187,187,Ícaro Inovador,Tecnologia e Inovação
188,188,Programa de Resiliência,Educação
189,189,Quem Protege o Planeta?,Meio Ambiente
190,190,Programa de Capacitação em Empreendedorismo para Mulheres Chefes de Família,Educação
191,191,GreenJet,Sustentabilidade
192,192,Talentos em Transformação,Educação
193,193,DesenvolveFuturo,Educação
194,194,Projeto Igualdade na BR Distribuidora,Serviços Sociais
195,195,Inovação em Robótica Biomimética,Tecnologia e Inovação
196,196,VidaVerde,Meio Ambiente
197,197,EducaLiderazgo,Educação
198,198,Apoio na agenda de descarbonização na cadeia de suprimentos,Sustentabilidade
199,199,Programa de Estudos de Ecossistemas Marinhos,Meio Ambiente
200,200,Quero Querer,Saúde e Bem-estar
201,201,Hermes Health,Saúde e Bem-estar
202,202,Beyond Borders: Integração de Refugiados no Mercado de Trabalho,Serviços Sociais
203,203,Éden Ecológico,Meio Ambiente
204,204,CresceCriativo,Educação
205,205,Arco do Desenvolvimento,Economia e Finanças
206,206,Projeto de Inteligência Emocional,Educação
207,207,MarítimoModerno,Transporte e Logística
208,208,EcoSpeed,Transporte e Logística
209,209,WirelessWolframita,Tecnologia e Comunicação
210,210,Estudos de Mecânica Quântica com Circuitos Supercondutores,Ciência e Pesquisa
211,211,Iniciativa de Mentoría Profesional,Educação
212,212,Desenvolvimento de Tecnologia para Monitoramento de Deslizamentos de Terra,Tecnologia e Inovação
213,213,Resiliência Robusta,Sustentabilidade
214,214,Astronomia Observacional com Telescópios Espaciais,Ciência e Pesquisa
215,215,Fortalecendo Relações,Educação
216,216,Programa Respire,Saúde e Bem-estar
217,217,Iniciativa Diversidade na Kroton,Serviços Sociais
218,218,Projeto de Implantação de Sistemas de Energia Eólica em Comunidades Costeiras,Energia e Recursos
219,219,Projeto Conexão Pessoal,Serviços Sociais
220,220,EducaSustentável,Educação e Meio Ambiente
221,221,Projeto de Diversidade na Disney,Serviços Sociais
222,222,Lumière de Lune (Luz da Lua),Arte e Cultura
223,223,Movimento Transparência 100%,Direito e Governança
224,224,Construção de Equipes,Educação
225,225,FutureMobility,Tecnologia e Informação
226,226,IA generativa e ciência de dados,Tecnologia e Inovação
227,227,Biblioteca de Babel,Educação
228,228,IA em Reconhecimento de Padrões Neurais,Tecnologia e Dados
229,229,IdeiaIridescente,Empreendedorismo e Inovação
230,230,WonderWealth,Economia e Finanças
231,231,Lanterna da Liberdade,Serviços Sociais
232,232,Instituto MRV,Educação
233,233,ElectricRide Sharing,Sustentabilidade
234,234,Récolte Richesse (Colheita Riqueza),Agricultura e Alimentação
235,235,ConstruyeJuntos,Serviços Sociais
236,236,Arte para Impacto: Oficinas de Expressão Criativa,Arte e Cultura
237,237,Projeto Equidade na CPFL Energia,Serviços Sociais
238,238,Zonas de Zen,Saúde e Bem-estar
239,239,Estudos de Cultura de Feedback,Educação
240,240,Inclusão no Ambiente de Trabalho,Serviços Sociais
241,241,GreenRoute Solutions,Tecnologia e Inovação
242,242,EcoLearn: Aprendizado Ecológico,Educação e Meio Ambiente
243,243,Como Podemos Viver Melhor?,Saúde e Bem-estar
244,244,EcoTrucking,Transporte e Logística
245,245,Arco-íris da Inclusão,Serviços Sociais
246,246,Saúde e Segurança,Saúde e Bem-estar
247,247,Programa Inclusão na C&A,Serviços Sociais
248,248,Estudos de Ecossistemas Aquáticos com DNA Metabarcoding,Meio Ambiente
249,249,Revive,Meio Ambiente
250,250,Foco no Bem-Estar,Saúde e Bem-estar
251,251,Programa de Diversidade na Amazon,Serviços Sociais
252,252,Project HOPE: Healthcare Outreach Program for Underserved Communities,Saúde e Bem-estar
253,253,Bem-Estar Básico,Saúde e Bem-estar
254,254,Quem Ganha com a Inovação?,Economia e Finanças
255,255,Glow Up,Saúde e Bem-estar
256,256,Atlas do Avanço,Educação
257,257,Farol do Desenvolvimento,Economia e Finanças
258,258,Zênite do Zelo,Educação
259,259,União Urbana,Desenvolvimento Urbano e Infraestrutura
260,260,Parceria com Escolas para Implantação de Projetos de Compostagem,Educação
261,261,Por Que Nos Importamos?,Saúde e Bem-estar
262,262,Promoção da Saúde Mental,Saúde e Bem-estar
263,263,AeroAgilidade,Tecnologia e Inovação
264,264,Valoriza Vida,Saúde e Bem-estar
265,265,Certificação de empresas brasileiras como B-CORP.,Desenvolvimento Econômico e Empresarial
266,266,Desenvolvimento de Fármacos com AI,Saúde e Indústria
267,267,CAMPO (Capacitação Agrícola e Manejo de Práticas Orgânicas),Agricultura e Alimentação
268,268,Recursos Renováveis,Energia e Recursos
269,269,Iniciativa de Desenvolvimento na Visa,Educação
270,270,Nêutron de Newton,Ciência e Pesquisa
271,271,Espaço Sideral,Ciência e Pesquisa
272,272,IA em Neurociência Computacional,Ciência e Pesquisa
273,273,AirFlow,Tecnologia e Informação
274,274,Iniciativa Diversidade na Localiza,Serviços Sociais
275,275,Pilar do Progresso,Desenvolvimento Urbano e Infraestrutura
276,276,AceleraTalentos,Educação
277,277,Projeto de Inclusão de Pessoas com Deficiência no Mercado de Trabalho,Gestão e Recursos Humanos
278,278,Quando Seremos Iguais?,Direito e Governança
279,279,Estudos de Fenômenos Quânticos em Nanoestruturas,Ciência e Pesquisa
280,280,FutureTransit Tech,Tecnologia e Informação
281,281,RobóticaResiliente,Tecnologia e Inovação
282,282,RizomaRubi,Ciência e Pesquisa
283,283,FutureTech Labs,Tecnologia e Inovação
284,284,Formação e capacitação de mulheres para ambientes e lideranças fabris,Educação
285,285,Estudio de Satisfacción del Empleado,Educação
286,286,Catalyst,Empreendedorismo e Inovação
287,287,Programa de Biologia Evolutiva Experimental,Ciência e Pesquisa
288,288,Iniciativa de Pesquisa em Neurociência Computacional,Ciência e Pesquisa
289,289,GenomaGlobal,Ciência e Pesquisa
290,290,WheelsOfTomorrow,Tecnologia e Informação
291,291,Iniciativa de Inclusão de Pessoas com Deficiência,Serviços Sociais
292,292,Projeto de Criação de Hortas Comunitárias em Bairros Urbanos,Agricultura e Alimentação
293,293,PromoveCultura,Arte e Cultura
294,294,BemEstarBio,Engenharia
295,295,Programa Inclusão na Ultrapar,Serviços Sociais
296,296,Projeto Equidade na Alpargatas,Serviços Sociais
297,297,Greening the Grid: Transição para Fontes de Energia Renovável,Energia e Recursos
298,298,SemeiaSucesso,Educação
299,299,TechTravels,Tecnologia e Informação
300,300,SmartRoads,Tecnologia e Informação
301,301,Conexão Humana,Serviços Sociais
302,302,InovaçãoSaúde,Saúde e Bem-estar
303,303,Arco da Inovação,Tecnologia e Inovação
304,304,Programa de Transformação na LinkedIn,Tecnologia e Inovação
305,305,Programa de Capacitação em Tecnologia para Pessoas com Deficiência Visual,Educação
306,306,Promoção da Felicidade,Saúde e Bem-estar
307,307,Por Que Não Agora?,Educação
308,308,Parceria com ONGs para Promoção da Economia Criativa em Favelas,Desenvolvimento Econômico e Empresarial
309,309,Raízes do Crescimento,Desenvolvimento Econômico e Empresarial
310,310,Empreendedorismo Social: Capacitação de Microempreendedores,Empreendedorismo e Inovação
311,311,FutureMobility Tech,Tecnologia e Informação
312,312,Atlas Ambiental,Meio Ambiente
313,313,Iniciativa de Bem-Estar na Facebook,Saúde e Bem-estar
314,314,EnviroWheels,Sustentabilidade
315,315,Estudos de Liderança Eficaz,Educação
316,316,EnergiaEmpodera,Energia e Recursos
317,317,Olímpia Organização,Desporto e Lazer
318,318,Vitalize,Saúde e Bem-estar
319,319,Iniciativa de Desenvolvimento de Liderança,Educação
320,320,UrbanShift,Tecnologia e Informação
321,321,EmpowerTech: Capacitação Tecnológica,Tecnologia e Inovação
322,322,Pirâmide do Poder,Direito e Governança
323,323,Programa de Educação Financeira e Previdenciária,Educação
324,324,Projeto de Psicologia Cognitiva Aplicada,Saúde e Bem-estar
325,325,Rota de Reciclagem,Sustentabilidade
326,326,Desenvolvimento de Tecnologia para Monitoramento de Incidência de Doenças Transmitidas por Vetores,Tecnologia e Inovação
327,327,GELO (Gestão Ecológica e Liderança Organizada),Meio Ambiente
328,328,Programa de Desenvolvimento Organizacional,Estratégia e Gestão
329,329,Terra Firma (Terra Firme),Meio Ambiente
330,330,Ações de Educação Ambiental em Unidades de Conservação,Educação
331,331,Nutrição infantil via merenda escolar,Saúde e Bem-estar
332,332,EcoMobilize,Sustentabilidade
333,333,SEMENTE (Sistemas Ecológicos e Métodos para Educação e Natureza Transformadora),Educação
334,334,Caleidoscópio Cultural,Arte e Cultura
335,335,Programa de Estudos de Biologia Celular,Ciência e Pesquisa
336,336,Diversity in Tech: Promoting Diversity in the Tech Industry,Direito e Governança
337,337,EducaçãoConsciente,Educação
338,338,DespertaDesejo,Marketing e Comunicação
339,339,Vênus de Vida,Saúde e Bem-estar
340,340,Estudos de Cultura Organizacional,Educação
341,341,CrescerCompaixão,Saúde e Bem-estar
342,342,GênioGeométrico,Ciência e Pesquisa
343,343,Projeto de Inclusão na Tesla,Serviços Sociais
344,344,GENTE (Geração de Energia Nova e Tecnologias Ecoeficientes),Energia e Recursos
345,345,Parceria com Instituições de Ensino Superior para Pesquisa em Energias Renováveis,Educação
346,346,Projeto Futuro Brilhante,Educação
347,347,Parceria com ONGs para Recuperação de Áreas Contaminadas,Sustentabilidade
348,348,DesenvolveCidades,Desenvolvimento Urbano e Infraestrutura
349,349,EnergiaEsmeralda,Energia e Recursos
350,350,Projeto de Gestão de Talentos,Gestão e Recursos Humanos
351,351,Universidade Corporativa,Educação
352,352,PESCA (Programa de Educação Sustentável e Conservação Aquática),Educação
353,353,UrbanDrive,Desenvolvimento Urbano e Infraestrutura
354,354,Projeto Equidade na SulAmérica,Serviços Sociais
355,355,Iniciativa de Biologia Estrutural,Ciência e Pesquisa
356,356,KinéticaCultural,Arte e Cultura
357,357,Horizon Harmonieux (Horizonte Harmonioso),Serviços Sociais
358,358,Templo do Tempo,Arte e Cultura
359,359,DataSavvy,Tecnologia e Dados
360,360,Programa Inclusão na Suzano,Serviços Sociais
361,361,Desenvolvimento de Tecnologia para Reciclagem de Resíduos de Eletrônicos,Tecnologia e Inovação
362,362,Cultura de Colaboração,Educação
363,363,GreenTech Drive,Tecnologia e Inovação
364,364,CUIDA (Comunidade Unida pela Inclusão e Desenvolvimento de Atividades),Serviços Sociais
365,365,Impacto Positivo,Serviços Sociais
366,366,Programa de Oceanografia Aplicada,Ciência e Pesquisa
367,367,Alimentação Saudável,Saúde e Bem-estar
368,368,ElectricUrban,Transporte e Logística
369,369,Astronomia Observacional,Ciência e Pesquisa
370,370,Projeto Futuro,Tecnologia e Inovação
371,371,Iniciativa de Promoção da Saúde Mental,Saúde e Bem-estar
372,372,Campanha de Conscientização sobre Desperdício de Alimentos em Supermercados,Sustentabilidade
373,373,Educação Continuada,Educação
374,374,Programa de Genética de Populações,Ciência e Pesquisa
375,375,CRISPR-Cas12 para Edição Precisa de Genes,Ciência e Pesquisa
376,376,Iniciativa Resiliência,Saúde e Bem-estar
377,377,Projeto Igualdade na Votorantim,Serviços Sociais
378,378,CriaçãoVerde,Arte e Cultura
379,379,ProsperaRH,Educação
380,380,Iniciativa Diversidade na BRF,Serviços Sociais
381,381,Projeto de Reutilização de Materiais de Construção em Obras Públicas,Sustentabilidade
382,382,Transfórmate+,Educação
383,383,Transcendental Transport,Transporte e Logística
384,384,Olho da Verdade,Comunicação e Mídia
385,385,MotionMasters,Tecnologia e Informação
386,386,Relógio do Mundo,Tecnologia e Informação
387,387,Programa de Transformação na Unilever,Tecnologia e Inovação
388,388,Projeto de Avaliação de Desempenho,Gestão e Recursos Humanos
389,389,Programa Pequenos Negócios Fortalecidos,Desenvolvimento Econômico e Empresarial
390,390,Oasis da Inovação,Tecnologia e Informação
391,391,EmpowerED: Tecnologia Educacional para Escolas Carentes,Tecnologia e Educação
392,392,ConectaCidades,Desenvolvimento Urbano e Infraestrutura
393,393,Fênix Financeira,Economia e Finanças
394,394,Nutrição Nítida,Saúde e Bem-estar
395,395,FutureTransshipment,Tecnologia e Informação
396,396,Jovens com Juízo,Educação
397,397,CleanEnergy Tech,Tecnologia e Inovação
398,398,Optimize,Tecnologia e Inovação
399,399,Sócrates Sociais,Educação
400,400,Carpe Diem Comunidade,Serviços Sociais
401,401,Quimera de Qualidade,Estratégia e Gestão
402,402,Projeto Equidade na Embraer,Serviços Sociais
403,403,SustainCity: Cidade Sustentável,Sustentabilidade
404,404,Diamante da Diversidade,Direito e Governança
405,405,FutureDrone Delivery,Tecnologia e Informação
406,406,Arte e Ação,Arte e Cultura
407,407,Ações de Promoção da Saúde Mental em Ambientes de Trabalho,Saúde e Bem-estar
408,408,Ecologia Computacional,Meio Ambiente
409,409,Pioneiros da Paz,Direito e Governança
410,410,Transforma+RH,Educação
411,411,Estudos de Workforce Planning,Educação
412,412,Programa de Educação Continuada,Educação
413,413,Progresso Participativo,Serviços Sociais
414,414,Física de Partículas Avançada,Ciência e Pesquisa
415,415,Estudos de Materiais Supercondutores para Eletrônica Quântica,Ciência e Pesquisa
416,416,EcoVida: Programa de Sensibilização Ambiental em Comunidades,Sustentabilidade
417,417,CultivaComunidade,Serviços Sociais
418,418,Empower,Serviços Sociais
419,419,MARÉ (Movimento Ambiental para a Revitalização Ecológica),Meio Ambiente
420,420,EcoDelivery,Sustentabilidade
421,421,SustentaSocial,Serviços Sociais
422,422,Iniciativa de Bienestar Laboral,Saúde e Bem-estar
423,423,Projeto Abrace-se,Serviços Sociais
424,424,Alimentazione Alma (Alimentação Alma),Saúde e Bem-estar
425,425,FuturoSostenible,Sustentabilidade
426,426,Projeto de Diversidade na IBM,Serviços Sociais
427,427,Surge,Tecnologia e Inovação
428,428,Projeto de Construção Sustentável em Áreas Urbanas,Sustentabilidade
429,429,YouLead: Liderança Juvenil,Educação
430,430,Como Preservar a Natureza?,Meio Ambiente
431,431,Parceria com Escolas para Implementação de Projetos de Compostagem,Educação
432,432,FutureTransit,Transporte e Logística
433,433,CleanCommute,Sustentabilidade
434,434,Diversity in Tech: Incentivo à Diversidade na Indústria de Tecnologia,Serviços Sociais
435,435,Programa de Capacitação em Empreendedorismo para Jovens de Comunidades Carentes,Educação
436,436,GreenAir,Tecnologia e Inovação
437,437,Ulisses Urbanismo,Desenvolvimento Urbano e Infraestrutura
438,438,Biomas,Meio Ambiente
439,439,AçãoComunitária,Desenvolvimento Comunitário
440,440,Projeto Transformação na Microsoft,Tecnologia e Inovação
441,441,Coração da Comunidade,Desenvolvimento Comunitário
442,442,Caminhos para o Sucesso,Educação
443,443,SpeedScape,Tecnologia e Informação
444,444,Projeto Mente Saudável,Saúde e Bem-estar
445,445,ArtesAnalíticas,Arte e Cultura
446,446,Sustainable Finance,Economia e Finanças
447,447,VIVER (Vigilância Inovadora para a Valorização de Ecossistemas Rurais),Meio Ambiente
448,448,Iniciativa de Desenvolvimento na Netflix,Educação
449,449,JuventudeJusta,Serviços Sociais
450,450,Programa Empreendedorismo em Ação,Empreendedorismo e Inovação
451,451,Inovação e Aprendizado,Educação
452,452,Campo de Descobertas,Ciência e Pesquisa
453,453,PromoveSustentabilidade,Sustentabilidade
454,454,SmartTrucking,Transporte e Logística
455,455,Programa Empoderamento na JSL,Serviços Sociais
456,456,Escudo da Saúde,Saúde e Bem-estar
457,457,Kalypso Klima,Meio Ambiente
458,458,GreenLiving Tech,Tecnologia e Inovação
459,459,EmpowerMulher: Programa de Empreendedorismo Feminino,Serviços Sociais
460,460,EcoTech Innovations,Tecnologia e Meio Ambiente
461,461,GreenTech para Agricultura Sustentável,Tecnologia e Inovação
462,462,Quête de Qualité (Busca por Qualidade),Desenvolvimento Econômico e Empresarial
463,463,FutureCycling,Sustentabilidade
464,464,ConexiónEmpatía,Serviços Sociais
465,465,MUDA (Movimento Unificado para o Desenvolvimento Ambiental),Meio Ambiente
466,466,Parceria com ONGs para Recuperação de Áreas Degradadas,Sustentabilidade
467,467,Programa Desperte,Educação
468,468,Iniciativa Diversidade na Natura,Serviços Sociais
469,469,Projeto de Inovação na PepsiCo,Tecnologia e Inovação
470,470,Ações de Felicidade na Farmapar,Saúde e Bem-estar
471,471,SaúdeSegura,Saúde e Bem-estar
472,472,TechBridge: Treinamento de Habilidades Digitais para Jovens Desempregados,Educação
473,473,AURA (Ações Unificadas para Revitalização Ambiental),Meio Ambiente
474,474,Iniciativa de Ecologia Computacional,Meio Ambiente
475,475,LógicaLuneta,Ciência e Pesquisa
476,476,Capacitação e Desenvolvimento,Educação
477,477,Mar de Ideias,Empreendedorismo e Inovação
478,478,Conquer,Educação
479,479,GrafenoGirassol,Tecnologia e Inovação
480,480,GreenTech: Tecnologia Sustentável,Tecnologia e Meio Ambiente
481,481,Programa Empoderamento na Raízen,Serviços Sociais
482,482,AeroNex,Tecnologia e Inovação
483,483,GreenTech Innovations,Tecnologia e Meio Ambiente
484,484,Formação Fértil,Educação
485,485,Thrive,Desenvolvimento Comunitário
486,486,Castelo da Cultura,Arte e Cultura
487,487,Estudos de Retenção de Talentos,Educação
488,488,Lanterna do Conhecimento,Educação
489,489,TranscendXpress,Transporte e Logística
490,490,Programa Acelera Negócios,Empreendedorismo e Inovação
